CÓDIGO-DO-TRECHO,TRECHO-INÍCIO,TRECHO-FINAL,EXTENSÃO(km),SITUAÇÃO-FÍSICA,TIPO-DE-REVESTIMENTO,TRECHO-COINCIDENTE-DISTRITAL,TRECHO-COINCIDENTE-FEDERAL-SUPERPOSTA,TMD,NOMENCLATURA-ANTERIOR,snv_rodovia,snv_jurisdicao,snv_uf,snv_sequencial,lat_inicio,lon_inicio,lat_fim,lon_fim,lat_meio,lon_meio,extensao_geom_km,tomtom_sucesso,tomtom_currentSpeed,tomtom_freeFlowSpeed,tomtom_currentTravelTime,tomtom_freeFlowTravelTime,tomtom_confidence,tomtom_roadClosure,tomtom_erro
295EDF0050,ENTR. BR-251,ENTR. VC-471,10.8,IMP,-,-,-,272,FZ-01,DF-295,E,DF,50,-16.049619201498,-47.5375762819999,-16.049730818498,-47.4321979349999,-16.049699199522994,-47.4848871085961,11.730731087662273,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
295EDF0070,ENTR. VC-471,ENTR. DF-100,2.3,IMP,-,-,-,272,FZ-01,DF-295,E,DF,70,-16.049730818498,-47.4321979349999,-16.049777299498,-47.4157636369999,-16.049754058997998,-47.4239807859999,1.8294733705124289,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
310EDF0010,ENTR. BR-479/DF-250,ENTR. VC-151,8.5,IMP,-,-,-,92,FZ-30,DF-310,E,DF,10,-15.6893220595081,-47.5196028119999,-15.7306974455069,-47.4661306659999,-15.71463510026358,-47.49997706603518,8.3413545587631,True,70.0,70.0,1375.0,1375.0,1.0,False,
310EDF0030,ENTR. VC-151,ENTR. VC-165,1.4,IMP,-,-,-,92,FZ-30,DF-310,E,DF,30,-15.7306974455069,-47.4661306659999,-15.7421145195066,-47.4584550019999,-15.73596465605854,-47.46174650515625,1.5529808457510648,True,70.0,70.0,1375.0,1375.0,1.0,False,
310EDF0050,ENTR.VC-165,ENTR. VC-173,4.0,IMP,-,-,-,92,FZ-30,DF-310,E,DF,50,-15.7421145195066,-47.4584550019999,-15.7728354335058,-47.4388442989999,-15.758304983967948,-47.44973792304946,4.094045873174066,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
310EDF0070,ENTR. VC-173,ENTR. VC-177(A),3.0,IMP,-,-,-,26,FZ-30,DF-310,E,DF,70,-15.7728354335058,-47.4388442989999,-15.7820449335055,-47.4225357209999,-15.771993140909478,-47.42932613332544,3.0253373122319447,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
310EDF0090,ENTR. VC-177(A),ENTR. VC-177(B),2.0,IMP,-,-,-,26,FZ-30,DF-310,E,DF,90,-15.7820449335055,-47.4225357209999,-15.800018806505,-47.4172664859999,-15.791011257292338,-47.41921105700565,2.139414313639105,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
310EDF0110,ENTR. VC-177(B),ENTR. DF-100,5.0,IMP,-,-,-,26,FZ-30,DF-310,E,DF,110,-15.800018806505,-47.4172664859999,-15.8244696045043,-47.3823464089999,-15.81583884893682,-47.40527378373404,5.4703487541333375,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
320EDF0010,ENTR. BR-479/DF-250,ENTR. VC-403,1.6,PAV,TSD,-,-,763,FZ-31,DF-320,E,DF,10,-15.7140939475074,-47.5709075899999,-15.7195356785073,-47.556755634,-15.71681481300735,-47.56383161199994,1.6878487108620228,True,86.0,86.0,839.0,839.0,1.0,False,
320EDF0030,ENTR. VC-403,ENTR. DF-355,5.4,PAV,TSD,-,-,763,FZ-31,DF-320,E,DF,30,-15.7195356775073,-47.556755635,-15.7424003645066,-47.5133102699999,-15.72803767845635,-47.53321658849741,5.580628304191095,True,86.0,86.0,839.0,839.0,1.0,False,
