CÓDIGO-DO-TRECHO,TRECHO-INÍCIO,TRECHO-FINAL,EXTENSÃO(km),SITUAÇÃO-FÍSICA,TIPO-DE-REVESTIMENTO,TRECHO-COINCIDENTE-DISTRITAL,TRECHO-COINCIDENTE-FEDERAL-SUPERPOSTA,TMD,NOMENCLATURA-ANTERIOR
105EDF0020,FIM DE TRECHO IMPLANTADO (km. 5.9),2.1,3,PLA,-,-,-,-,FZ-35
105EDF0030,ENTR. DF-230,ENTR. VC-143,6.0,PLA,-,-,-,-,FZ-35
105EDF0050,ENTR. VC-143,ENTR. BR-479(B)/ DF-250(A),4.4,IMP,-,-,-,220,FZ-35
105EDF0070,ENTR. BR-479(B)/ DF-250(A),E N T R . B R - 4 7 9 ( A ) / DF-250(B),0.7,PAV,TSD,250EDF0190,479BDF0100,2.478,FZ-35
105EDF0090,ENTR. BR-479(A)/ DF-250(B),ENTR. VC-155,0.9,IMP,-,-,-,63,FZ-35
105EDF0110,ENTR. VC-155,ENTR. DF-100,9.1,IMP,-,-,-,63,FZ-35
110EDF0010,ENTR. DF-205,ENTR. VC-113,5.5,IMP,-,-,-,282,DF-19
110EDF0030,ENTR. VC-113,ENTR. BR-020/BR-030,1.2,IMP,-,-,-,282,DF-19
110EDF0050,ENTR. BR-020/BR-030,ENTR. VC-121,0.9,IMP,-,-,-,51,DF-19
110EDF0070,ENTR. VC-121,ENTR. DF-230(A),7.4,IMP,-,-,-,51,DF-19
110EDF0090,ENTR. DF-230(A),ENTR. DF-230(B),0.5,IMP,-,230EDF0190,-,119,DF-19
110EDF0110,ENTR. DF-230(B),ENTR. BR-479/DF-250,3.0,IMP,-,-,-,119,DF-19
120EDF0010,ENTR. BR-479/DF-250,ENTR. DF-455,11.0,IMP,-,-,-,234,DF-19
120EDF0030,ENTR. DF-455,ENTR. DF-355,2.8,PAV,CA,-,-,359,-
120EDF0050,ENTR. DF-355,ENTR. VC-419,1.0,IMP,-,-,-,296,-
