RODOVIA,SENTIDO,VALOR DO K
180EDF0250,ENTR. BR- 070(A) até ENTR. BR- 070(B),0.975
110EDF0050,ENTR. BR-020/BR-030 até ENTR. VC-121,0.9669724770642201
440EDF0110,ENTR. DF-330 até ACESSO A BR-010/ BR-020/BR-030 (SLU),0.9669724770642201
008EDF0010,ENTR. DF-001 (EPCT) até ENTR. DF-005 (EPPR),0.9531914893617022
001EDF0290,DF-480 ENTR. DF-475 até ENTR. VC-331 ACESSO AO,0.95
002EDF0030,RODOVIÁRIA DE BRASÍLIA até ENTR. DF-047 (TREVO DE TRIAGEM SUL),0.95
003EDF0130,ENTR. DF-095 (EPCL) até ENTR. DF-085 (EPTG),0.9489795918367347
075EDF0010,ENTR. DF-003 (EPIA) até ACESSO AO NÚCLEO BANDEIRANTE,0.9479166666666667
009EDF0030,ENTR DF-007 (EPTT) até ENTR. DF-005 (EPPR),0.9473684210526315
009EDF0050,ENTR. DF-005 (EPPR) até CLUBE DO CONGRESSO,0.9442622950819674
003EDF0170,ENTR. DF-051 (EPGU) até ENTR. DF-075 (EPNB),0.9391304347826086
110EDF0030,ENTR. VC-113 até ENTR. BR-020/BR-030,0.9357798165137614
085EDF0010,ENTR. DF-003 (EPIA) até ENTR. DF-087 (EPVL),0.9230769230769231
085EDF0030,ENTR. DF-087 (EPVL) até ENTR. DF-079 (EPVP),0.9230769230769231
001EDF0030,ENTR. VC-263 até ENTR.BR-479/ DF-015/DF-250,0.9166666666666666
001EDF0050,ENTR. BR-479/ DF-015/DF-250 até ENTR. DF-456,0.9166666666666666
128EDF0110,ENTR. DF-230 até ACESSO AO INSTITUTO FEDERAL DE BRASÍLIA,0.9166666666666666
001EDF0430,TAGUATINGA ENTR. BR-070/ DF-095(EPCL) até E N T R . D F -097 (EPAC),0.9125
430EDF0070,ENTR. VC-527 até DF-001 (EPCT),0.9085106382978724
051EDF0030,ENTR. DF-003 (EPIA) até ACESSO AO GUARÁ II,0.9072916666666667
035EDF0010,ENTR. DF-025 (EPDB) até ENTR. DF-001 (EPCT),0.9056603773584905
405EDF0010,ENTR. BR-020/BR-030 até ENTR. VC-111,0.9045871559633026
025EDF0070,ACESSO À PONTE HONESTINO GUIMARÃES até ENTR. DF-035 (EPCV),0.9037037037037037
025EDF0090,ENTR. DF-035 (EPCV) até ENTR. DF-027 (EPJK),0.9037037037037037
205EDF0150,ENTR. DF-131 até ENTR. DF-128,0.9037037037037037
480EDF0030,ENTR. VC-361 até ENTR. BR-251/DF- 001(EPCT)/DF- 065(EPIP),0.9
006EDF0010,ENTR. DF-007 (EPTT) até ENTR. DF-005 (EPPR),0.8999999999999999
009EDF0010,ENTR. DF-003 (EPIA) até ENTR DF-007 (EPTT),0.8999999999999999
015EDF0010,ENTR. DF-005 (EPPR) até ENTR. BR-479/ DF-001 (EPCT)/DF- 250,0.8936170212765958
150EDF0010,ENTR. BR-010/ 020/030/DF-001/003 (PARQUE RODOVIÁRIO DO DER-DF) até ACESSO A SOBRADINHO II,0.8787234042553193
205EDF0070,ENTR. DF-150 até ENTR. DF-326,0.8727272727272727
079EDF0010,ENTR. DF-085 (EPTG) até ENTR. DF-081 (EPIB),0.8724489795918368
140EDF0030,ENTR. BR-251 até ENTR. VC-467,0.8625
001EDF0350,ENTR. BR-060 / ACESSO I A SAMAMBAIA até SAMAMBAIA A C E S S O I I A SAMAMBAIA / 3º DR,0.85
442EDF0010,ENTR. DF-440 até ENTR. DF-001 (EPCT),0.848936170212766
001EDF0370,ACESSO II A SAMAMBAIA / 3º DR até ENTR. DF-075 (EPNB),0.8478260869565217
004EDF0170,ACESSO À PONTE PRESIDENTE MEDICI até ENTR. DF-047(EPAR)/ DF-051(EPGU),0.8375
051EDF0010,ENTR. DF-047 (EPAR) até ENTR. DF-003 (EPIA),0.8375
353EDF0010,ENTR BR-479/DF-250 até ENTR. VC-129,0.8333333333333334
353EDF0090,ENTR. VC-127 até ENTR. DF-230,0.8333333333333334
280EDF0010,DIVISA GO/DF até ENTR. DF-190(A),0.825
280EDF0012,ENTR. DF- 190(A) até ENTR. DF- 190(B),0.825
280EDF0030,ENTR. DF-190(B) até ENTR. BR-060,0.825
442EDF0030,ENTR. DF-001 (EPCT) até ENTR. DF-005 (EPPR),0.8191489361702128
230EDF0010,ENTR. BR-010/BR-020/ BR-030 até ENTR. DF-128,0.8148148148148148
230EDF0030,ENTR. DF-128 até ENTR. DF-130,0.8148148148148148
001EDF0052,ENTR. DF-456 até ENTR. DF-005 (EPPR),0.8114754098360657
475EDF0050,ENTR. VC-341 até ENTR. BR-251/DF-001,0.8042553191489362
128EDF0030,ENTR. DF-205 até ENTR. DF-131,0.8
130EDF0210,ENTR. DF-270 até ENTR. BR-251(A),0.8
001EDF0390,ENTR. DF-075 (EPNB) até ENTR. DF-085 (EPTG)/ TAGUATINGA,0.7959183673469389
001EDF0250,DO PARANOÁ ENTR. BR- 040/050/ DF-003 (EPIA) até ENTR. DF-065 ( E P I P ) / DF-480,0.7875
180EDF0410,ENTR. VC-351 até ENTR. DF-290,0.7866666666666666
445EDF0070,ENTR. DF-430(B) até ENTR. VC-527,0.7833333333333333
001EDF0070,ENTR. DF-005 (EPPR) até ENTR. DF-025(A) /BARRAGEM DO PARANOÁ,0.7783018867924528
001EDF0090,ENTR. DF- 025(A) /BARRAGEM DO PARANOÁ até ENTR. DF- 025(B) (EPDB),0.7783018867924528
128EDF0010,DIVISA GO/DF até ENTR. DF-205,0.775
025EDF0100,ENTR. DF-027 (EPJK) até ENTR. DF-001(A) (EPCT),0.7625
180EDF0290,ENTR. DF-190 até ENTR. VC-311,0.7625
180EDF0330,ACESSO A SAMAMBAIA até ENTR. BR-060,0.7625
290EDF0030,ENTR. VC-381 até ENTR. DF-180,0.7625
290EDF0050,ENTR. DF-180 até ENTR. VC-379 / ACESSO AO GAMA,0.7625
001EDF0010,ENTR. BR-010/020/ 030/DF-003/150 (PARQUE ROD. DER- DF) até ENTR. DF-442,0.7583333333333334
055EDF0010,ENTR. DF-003 (EPIA) até VARGEM BONITA (km. 7.2),0.7583333333333334
131EDF0050,ENTR. DF-335 até ENTR. DF-128,0.7555555555555555
003EDF0110,ENTR. EIXO MONUMENTAL até ENTR. DF-095 (EPCL),0.75
081EDF0010,ENTR. DF-003 (EPIA) até ENTR. DF-079 (EPVP),0.75
110EDF0010,ENTR. DF-205 até ENTR. VC-113,0.75
128EDF0090,ACESSO A PLANALTINA/ 1º DISTRITO RODOVIÁRIO até ENTR. DF-230,0.75
150EDF0050,ACESSO A SOBRADINHO II até ENTR. DF-205,0.75
445EDF0010,ENTR. BR-080/BR-251 até ENTR. DF-435,0.75
079EDF0030,ENTR. DF-081 (EPIB) até ENTR. DF-075 (EPNB),0.7434782608695651
131EDF0010,DIVISA GO/DF até ENTR. DF-205,0.7375
326EDF0010,ENTR. DF-205 até ENTR. DF-335,0.7375
008EDF0050,ENTR. DF-009 (EPPN) até ENTR. DF-004 (EPNA),0.734375
180EDF0350,ENTR. BR-060 até ENTR. VC-337(A),0.725
405EDF0050,ENTR. VC-113 até ENTR. DF-205,0.725
001EDF0270,ENTR. DF-065 (EPIP)/ DF-480 até E N T R . DF-475,0.7125
435EDF0010,ENTR. BR-080/BR-251 até ENTR. VC-547,0.7125
205EDF0170,ENTR. DF-128 até ENTR. BR-010/DF-345,0.7
010EDF0050,ACESSO AO SMU até ENTR. DF-003 (EPIA),0.690625
001EDF0110,ENTR. DF-025(B) (EPDB) até ENTR. DF-027 (EPJK),0.6875
025EDF0010,ENTR. DF-003 (EPIA) até ENTR. DF-047 (EPAR),0.675
025EDF0030,ENTR. DF-047 (EPAR) até ACESSO À PONTE PRESIDENTE MEDICI,0.675
