no,lon,lat,nome,n_pontas
189,-47.85355724699989,-15.5789349615112,ENTR. DF-326,3
190,-47.8359280159999,-15.5321870955125,ENTR. VC-201(B),2
191,-47.7888195919999,-15.5253579175127,FIM DE TRECHO PAVIMENTADO (km. 33.6),2
192,-47.53096411,-15.5195922965129,ENTR. BR-010/DF-345,4
193,-47.513432727,-15.5345432725125,ENTR. DF-405,3
194,-47.468141661,-15.5021910575134,ENTR. GO-430,2
195,-47.4167428209999,-15.5214687935128,DIVISA DF/GO,1
196,-48.1911679449999,-15.5258353625127,ENTR. BR-080/251,1
197,-48.1646805249999,-15.5271288485127,ENTR. VC-505,2
198,-48.1316131319999,-15.5002085855134,DIVISA DF/GO,1
199,-48.1984568979999,-15.6164028205102,ENTR. BR-080/251,1
200,-48.150947271666574,-15.601210417177265,ENTR. DF-445,3
201,-47.7063427809999,-15.6153121685102,ENTR. BR-010/BR-020/ BR-030,1
202,-47.633067726999904,-15.6473174515093,ENTR. DF-345,3
203,-47.570618625,-15.6524638105091,ENTR. VC-137(A),2
204,-47.5287327919999,-15.6422783515094,ENTR. VC-127/VC- 137(B),2
205,-47.5154280699999,-15.6293384455097,ENTR. DF-410,3
206,-47.5036931069999,-15.6406476085095,ENTR. VC-139,2
207,-47.49167243999991,-15.6522321095092,ENTR. DF-353,3
208,-47.73227735666657,-15.762696897172667,ENTR. DF-456,3
209,-47.69916701333324,-15.740988793839966,ENTR. DF-330,3
210,-47.6023744839999,-15.728420333507,ENTR. VC-129(A),2
211,-47.578322408333236,-15.717646102840634,ENTR. DF-353,3
212,-47.5709075899999,-15.7140939475074,ENTR. DF-320,3
213,-47.5556149069999,-15.7067306475076,ENTR. VC-129(B),2
214,-47.5196028119999,-15.6893220595081,ENTR. DF-310,3
215,-47.5163072319999,-15.6877281405081,ENTR. VC-133,2
216,-47.44447944,-15.7043985765077,ENTR. VC-151,2
217,-47.3992415559999,-15.7143284475074,ENTR. VC-155,2
218,-47.3542123409999,-15.7217174690072,ENTR. VC-159,2
219,-47.3362640629999,-15.7202224445072,ENTR. VC-145,2
220,-47.3211822009999,-15.7169493065073,ENTR. BR-479(B)/ DIVISA DF/GO,1
221,-47.5058860199999,-15.8552937505034,ENTR. VC-407,2
222,-47.4876057609999,-15.8589512325033,ENTR. VC-419,2
223,-47.4555009899999,-15.858143589503399,ENTR. VC-423,2
224,-47.4503773779999,-15.8581317338367,ENTR. DF-322(A),3
225,-47.4326729229999,-15.8622366735032,ENTR. DF-322(B),3
226,-47.5693447169999,-15.9344912795012,FIM DO TRECHO PAVIMENTADO (km. 3.4),2
227,-47.4714060489999,-15.9149215645018,ENTR. VC-407,2
228,-47.43506526466657,-15.918579495834999,ENTR. DF-322,3
229,-48.2533802999999,-15.942833367501,DIVISA GO/DF,1
230,-48.2397287399999,-15.942466176501,ENTR. DF-190(B),2
231,-48.1663108099999,-15.9236228225016,ENTR. BR-060,1
232,-47.5556668839999,-16.0003919424994,ENTR. BR-251,1
233,-47.5332462539999,-16.0033466749993,ENTR. VC-441,2
234,-47.4601779539999,-16.014172901499,ENTR. VC-447,2
235,-47.3800233509999,-16.0260391034987,ENTR. VC-461,2
236,-47.3112370769999,-16.0377053354983,DIVISA DF/MG,1
237,-48.2557304399999,-16.0382168444983,ENTR. BR-060,1
238,-48.1631666499999,-16.0090605684991,ENTR. VC-381,2
239,-48.0859683389999,-16.0265525774987,ENTR. VC-379 / ACESSO AO GAMA,2
240,-48.074160768,-16.033609465998403,ENTR. VC-385,2
241,-48.055073885,-16.0384882634983,ACESSO AO GAMA,2
242,-48.0303767029999,-16.049023177998002,ENTR. AV. ALAGADOS (SANTA MARIA),2
243,-48.0048505389999,-16.049051055498,ENTR. VC-371,2
244,-47.9812683789999,-16.049076897498,ENTR. BR-040/BR-050,1
245,-47.5375762819999,-16.049619201498,ENTR. BR-251,2
246,-47.4321979349999,-16.049730818498,ENTR. VC-471,2
247,-47.4661306659999,-15.7306974455069,ENTR. VC-151,2
248,-47.4584550019999,-15.7421145195066,ENTR. VC-165,2
249,-47.4388442989999,-15.7728354335058,ENTR. VC-173,2
250,-47.4225357209999,-15.7820449335055,ENTR. VC-177(A),2
251,-47.4172664859999,-15.800018806505,ENTR. VC-177(B),2
252,-47.5567556345,-15.7195356780073,ENTR. VC-403,2
253,-47.5133102699999,-15.7424003645066,ENTR. DF-355,3
254,-47.4932498409999,-15.765364823506,ENTR. VC-165,2
255,-47.4832016809999,-15.7691608955059,FIM DE TRECHO PAVIMENTADO (km. 11.7).1,2
256,-47.4665680809999,-15.7949237135051,3.3,2
257,-47.4720910269999,-15.798433064505,ENTR. VC-409,2
