u,v,codigo,sentido,rodovia,situacao,pavimentada,extensao_km,tmd_der,v_limite,v_livre_tomtom,tomtom_compartilhado,faixas_estimadas,capacidade_estimada,tem_contagem,vol_7h,vc_7h,vol_18h,vc_18h,K_observado,t_livre_s
327,326,495EDF0010,decrescente,DF-495,PAV,True,2.9,1824.0,60.0,67.0,False,1,1400,False,,,,,,155.82089552238804
327,328,495EDF0030,crescente,DF-495,PAV,True,7.0,1824.0,60.0,70.0,False,1,1400,False,,,,,,360.0
328,327,495EDF0030,decrescente,DF-495,PAV,True,7.0,1824.0,60.0,70.0,False,1,1400,False,,,,,,360.0
21,83,001EDF0370,crescente,DF-001,DUP,True,2.8,52590.0,60.0,65.0,False,2,3600,False,,,,,,155.07692307692307
83,21,001EDF0370,decrescente,DF-001,DUP,True,2.8,52590.0,60.0,65.0,False,2,3600,True,1981.0,0.5502777777777778,2417.0,0.6713888888888889,,155.07692307692307
83,22,001EDF0390,crescente,DF-001,DUP,True,5.7,42104.0,60.0,52.0,True,2,3600,True,2108.0,0.5855555555555556,1997.5,0.5548611111111111,,394.6153846153846
22,83,001EDF0390,decrescente,DF-001,DUP,True,5.7,42104.0,60.0,52.0,True,2,3600,True,2668.0,0.7411111111111112,2867.0,0.7963888888888889,,394.6153846153846
134,133,125EDF0110,crescente,DF-125,PAV,True,2.0,615.0,,80.0,True,1,1400,False,,,,,,90.0
133,134,125EDF0110,decrescente,DF-125,PAV,True,2.0,615.0,,80.0,True,1,1400,False,,,,,,90.0
4,208,250EDF0010,crescente,DF-250,DUP,True,5.55,22114.0,60.0,62.0,True,2,3600,False,,,,,,322.258064516129
208,4,250EDF0010,decrescente,DF-250,DUP,True,5.55,22114.0,60.0,62.0,True,2,3600,False,,,,,,322.258064516129
209,148,250EDF0030,crescente,DF-250,PAV,True,4.8,8055.0,60.0,62.0,True,1,1400,False,,,,,,278.7096774193549
148,209,250EDF0030,decrescente,DF-250,PAV,True,4.8,8055.0,60.0,62.0,True,1,1400,False,,,,,,278.7096774193549
211,212,250EDF0070,crescente,DF-250,PAV,True,0.8,2124.0,60.0,86.0,True,1,1400,False,,,,,,33.48837209302326
212,211,250EDF0070,decrescente,DF-250,PAV,True,0.8,2124.0,60.0,86.0,True,1,1400,False,,,,,,33.48837209302326
215,116,250EDF0130,crescente,DF-250,PAV,True,2.7,2115.0,60.0,86.0,True,1,1400,False,,,,,,113.0232558139535
116,215,250EDF0130,decrescente,DF-250,PAV,True,2.7,2115.0,60.0,86.0,True,1,1400,False,,,,,,113.0232558139535
94,218,250EDF0250,crescente,DF-250,IMP,False,4.0,311.0,60.0,70.0,True,1,600,False,,,,,,205.7142857142857
218,94,250EDF0250,decrescente,DF-250,IMP,False,4.0,311.0,60.0,70.0,True,1,600,False,,,,,,205.7142857142857
125,124,270EDF0070,crescente,DF-270,IMP,False,1.95,531.0,,80.0,True,1,600,False,,,,,,87.75
124,125,270EDF0070,decrescente,DF-270,IMP,False,1.95,531.0,,80.0,True,1,600,False,,,,,,87.75
